txn_id,customer_id,date,amount,category,channel
T000080,C0002,2026-01-01,-33.34,groceries,card
T000136,C0003,2026-01-01,-31.78,groceries,card
T000139,C0003,2026-01-01,-7.14,transport,card
T000320,C0006,2026-01-01,-14.66,subscription,direct_debit
T000516,C0009,2026-01-01,-40.41,groceries,card
T000865,C0014,2026-01-01,-7.27,transport,card
T000910,C0015,2026-01-01,-88.83,groceries,card
T001494,C0023,2026-01-01,-165.09,utilities,direct_debit
T001586,C0024,2026-01-01,-53.28,dining,card
T001591,C0024,2026-01-01,-88.07,retail,card
T001680,C0025,2026-01-01,-45.16,retail,card
T002140,C0031,2026-01-01,-19.1,transport,card
T002198,C0032,2026-01-01,-63.79,groceries,card
T002337,C0034,2026-01-01,-48.25,dining,card
T002595,C0038,2026-01-01,-14.15,dining,card
T002599,C0038,2026-01-01,-78.85,cash_withdrawal,atm
T002940,C0043,2026-01-01,-230.25,transfer_out,app_transfer
T003477,C0051,2026-01-01,-29.27,groceries,card
T003668,C0053,2026-01-01,-81.81,cash_withdrawal,atm
T003917,C0056,2026-01-01,-48.5,dining,card
T003987,C0057,2026-01-01,-25.34,transport,card
T004013,C0058,2026-01-01,4201.79,salary,inbound_transfer
T004078,C0060,2026-01-01,-48.28,dining,card
T004340,C0064,2026-01-01,-49.53,dining,card
T004407,C0065,2026-01-01,-120.28,retail,card
T004478,C0066,2026-01-01,-41.54,groceries,card
T004750,C0070,2026-01-01,-64.01,groceries,card
T004752,C0070,2026-01-01,-94.61,retail,card
T004920,C0072,2026-01-01,-97.95,utilities,direct_debit
T005445,C0078,2026-01-01,-12.84,dining,card
T005666,C0081,2026-01-01,-63.76,groceries,card
T005984,C0086,2026-01-01,-61.17,dining,card
T006071,C0087,2026-01-01,-8.13,transport,card
T006110,C0088,2026-01-01,-26.01,subscription,direct_debit
T006204,C0089,2026-01-01,-203.35,utilities,direct_debit
T006302,C0090,2026-01-01,-38.5,groceries,card
T007124,C0102,2026-01-01,-27.37,groceries,card
T007142,C0103,2026-01-01,-297.49,transfer_out,app_transfer
T007377,C0107,2026-01-01,-59.8,groceries,card
T007574,C0110,2026-01-01,-31.55,groceries,card
T007576,C0110,2026-01-01,-78.9,groceries,card
T007618,C0111,2026-01-01,-16.32,transport,card
T007718,C0112,2026-01-01,-79.54,cash_withdrawal,atm
T007842,C0114,2026-01-01,-121.63,retail,card
T007962,C0116,2026-01-01,-33.91,dining,card
T008524,C0125,2026-01-01,2938.57,salary,inbound_transfer
T008528,C0125,2026-01-01,-31.33,dining,card
T008709,C0127,2026-01-01,-68.82,groceries,card
T008872,C0129,2026-01-01,-6.69,subscription,direct_debit
T008879,C0129,2026-01-01,-28.69,transport,card
T008937,C0130,2026-01-01,-119.08,retail,card
T009074,C0132,2026-01-01,-73.44,groceries,card
T009185,C0133,2026-01-01,-38.35,groceries,card
T009497,C0137,2026-01-01,-153.85,transfer_out,app_transfer
T009543,C0138,2026-01-01,-300.6,transfer_out,app_transfer
T009929,C0144,2026-01-01,3377.7,salary,inbound_transfer
T010050,C0146,2026-01-01,-72.33,groceries,card
T010284,C0150,2026-01-01,-60.07,groceries,card
T010384,C0151,2026-01-01,-43.25,groceries,card
T010495,C0152,2026-01-01,-47.38,dining,card
T010896,C0157,2026-01-01,-69.54,groceries,card
T010977,C0158,2026-01-01,-82.15,groceries,card
T011099,C0161,2026-01-01,-8.1,subscription,direct_debit
T011217,C0162,2026-01-01,-39.44,groceries,card
T011372,C0164,2026-01-01,-53.71,retail,card
T011576,C0167,2026-01-01,-12.84,transport,card
T012187,C0175,2026-01-01,-29.69,transport,card
T012190,C0175,2026-01-01,-27.28,transport,card
T012339,C0177,2026-01-01,-49.69,dining,card
T012555,C0181,2026-01-01,-185.49,transfer_out,app_transfer
T012556,C0181,2026-01-01,-84.62,cash_withdrawal,atm
